,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer
3776,Asier Illarramendi,Defensive Midfield,25,Real Madrid,La_liga,Real Sociedad,La_liga,2015,15.0,15.0
3777,Dimitri Payet,Attacking Midfield,28,Marseille,Ligue_1,West Ham,EPL,2015,13.0,15.0
3778,Mario SuÃ¡rez,Defensive Midfield,28,Atletico Madrid,La_liga,Fiorentina,Serie_A,2015,10.0,15.0
3779,Jordy Clasie,Defensive Midfield,24,Feyenoord,Eredivisie,Southampton,EPL,2015,10.0,15.0
3780,JoÃ£o Cancelo,Right-Back,21,Benfica,Liga NOS,Valencia,La_liga,2015,5.0,15.0
3781,Ivan Cavaleiro,Right Winger,21,Benfica,Liga NOS,Monaco,Ligue_1,2015,3.5,15.0
3782,Clinton N'Jie,Centre-Forward,22,Lyon,Ligue_1,Tottenham,EPL,2015,5.0,14.1
3783,Petr Cech,Goalkeeper,33,Chelsea,EPL,Arsenal,EPL,2015,12.0,14.0
3785,Adama TraorÃ©,Central Midfield,20,Lille,Ligue_1,Monaco,Ligue_1,2015,1.25,14.0
3786,Yohan Cabaye,Central Midfield,29,Paris Saint Germain,Ligue_1,Crystal Palace,EPL,2015,16.0,13.9
3787,Benik Afobe,Centre-Forward,22,Wolverhampton Wanderers,Championship,Bournemouth,EPL,2015,7.0,13.3
3788,Sergi Darder,Central Midfield,21,MÃ¡laga CF,La_liga,Lyon,Ligue_1,2015,7.5,13.1
3789,Hernanes,Attacking Midfield,30,Inter,Serie_A,Juventus,Serie_A,2015,14.0,13.0
3792,Charles ArÃ¡nguiz,Central Midfield,26,Internacional,SÃ©rie A,Bayer Leverkusen,Bundesliga,2015,9.5,13.0
3793,Ramiro Funes Mori,Centre-Back,24,River Plate,Primera DivisiÃ³n,Everton,EPL,2015,6.0,12.9
3794,Mohamed Elneny,Defensive Midfield,23,FC Basel,Super League,Arsenal,EPL,2015,4.0,12.5
3796,Max Kruse,Second Striker,27,Borussia M.Gladbach,Bundesliga,Wolfsburg,Bundesliga,2015,12.0,12.0
